Municipality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abella de la Conca,6.34592034353866,-2.7460103170840875,2.0291516876110514,0.9815001690837096,0.5451212224180143,1.3957953897425104,-0.006571851674156689,9.119777318400072,2.345108414353464,2.1631276169450415,4.393352112031958,-3.9600833500389716,-0.9114421766691393,-3.514047269204018,1.961338643894963,-1.6618906371263913,-0.23594186701965006,-2.949269778326022,-1.7998809310720234,-1.8690731986115705,-2.437472866206549,1.4992304462945498,0.12949984895193292,1.8432468873825927,-0.932327286493236
Abrera,-5.630649489247313,1.6663942255409676,-2.3263766858468107,0.7936278352409374,-0.11714501686652887,-0.09744179517862468,1.7945602092771784,0.9177977290932352,-0.6201493942340839,1.232435396141408,-0.05951964730886681,-0.37351677339375416,0.2885707286139638,0.1560404378182123,-0.39421678060791454,0.47822692407071093,0.20634230735292738,0.45130038062348005,0.4906672783417229,0.06559773713805994,-0.07014921674885972,0.3873925964681565,0.4900883750232152,-0.20194906496149415,-1.0775239602471738
Àger,7.814692267823715,-2.0864550631498466,4.766873741164419,0.8841400474014081,-1.3890183273975163,1.1030326608117489,-1.0431382626556778,3.0629839490022728,-3.1334630961205536,3.3402425112905627,0.1775682605629918,-0.9984713497623916,0.4195627267847627,-0.43199187757244784,5.810768671260784,-2.2316397545901574,-0.062319870331244295,1.9829395603700812,1.3264045245797964,0.07912191831952636,-2.4134752424485244,0.18405356039039464,-2.8125560992813714,0.7333659405810097,-0.5841770707052639
Agramunt,-2.270791781193404,-2.6504712197900746,0.2810397217227295,-2.265969662673696,0.13648067772038827,-0.19693933494884802,0.17772759316036787,1.858671715346148,-0.6904693149138204,-0.7533335044731712,-0.5371507886342188,-0.2696687706176384,-0.8578925109553495,-0.8143241391294911,0.6220109442967613,0.0661216884795767,-0.41576785809024736,-0.297278668546352,-0.44231878095084615,0.38054846889531563,0.055890595869091814,-0.25665435724771857,0.7019890820652409,0.17494950593062983,-0.5184335084095864
Aguilar de Segarra,3.595279992296565,5.144019238610202,-1.9179083497175946,-2.3611505295565163,18.251299423585003,25.041686536466536,-1.2672996355393824,1.8618619378620667,1.2783447568213935,-0.1906240119428407,-0.40941638238579126,-1.6205625395085803,1.5528908142838733,-1.021381704536855,0.713760251390944,0.6065393531184399,0.49581774383430344,0.519770690171017,0.6780834071734549,-0.7960958866281906,-1.1774164416239148,-1.0202641611228591,-0.20118783174830743,-0.5585753297424441,0.6179262147994924
Agullana,-1.5609343314830773,-0.24976354873122691,2.003007068921559,-1.479504480187684,-1.281411716309439,0.7219134224791353,-2.76715659717731,-0.09699195381228767,0.851045300134393,0.8725565420453477,0.9008507556841261,-1.369340491777676,-2.181580713993161,-0.030715888861833063,1.1631172573183293,-1.4331537288292198,0.8424999176571393,0.28002429339927626,0.5152233454833726,0.30471248066839496,0.5954606522858774,-0.30130575368416995,0.7864731569024632,0.2433019748390762,-0.49235387641830697
Aiguafreda,-0.9176316867827848,0.42972906784663956,-3.2899545536353214,0.9972245275677476,-1.8364306815030818,0.8815080857228803,-1.309991157859836,-0.8204566669071476,-0.8465813765242698,-1.0021820069274994,0.7142389176302681,0.914187735584469,-1.0872547315544727,0.4125137629507015,1.4590663548234684,0.061976033445998495,-0.01963039312150734,-0.46474344086396613,0.5643260270016258,-0.1933196609400389,0.38852856889683174,0.16139452206773772,0.4015354644211207,-0.3689663304500373,-0.3857708698925728
Aiguamúrcia,-0.7995231524511314,-2.2497945848649836,0.02883908829823429,4.177652303958187,1.6363132318217188,-0.761795650693743,1.3941571228720608,-0.3866434371987562,0.4398059397640463,-0.09807618382005281,-2.277761497726244,-0.06938094306673757,1.1247374755892634,1.7244577860405905,1.975880516065987,-0.33160631901122745,-1.27479436054489,-0.42659409243705265,-0.40456168371526996,-1.0955422434985116,-0.7403375226391647,0.5152465071417828,0.46215758641877014,-0.0025148976788129745,1.2996220969952146
Aiguaviva,-3.067228372782384,9.47198371360767,-2.2323450870320074,-5.632059924073714,-5.250108919727158,2.4288598524274194,10.55281633533472,-1.1851511007628848,-0.9805547029945753,3.791194981639914,-2.8246813428937667,-0.7386874864550665,0.4689464841669324,-1.3172302149623094,0.17762973553409994,-1.7805289210700086,0.8175986876507518,0.3816966790441236,-1.248137614708426,-3.641526800305466,-0.28612076100838535,-0.8369260370399321,-1.35155057389121,0.3467820346183739,-0.36321358498150835
Aitona,-3.07678538861982,-9.188260490157086,3.869005906003562,-4.95980670645526,2.325760298473806,-1.1491919759488074,0.44290313547904303,-0.44149734175421756,0.9677829854591101,-1.797780948263188,0.5727090083648025,1.360604587654522,-0.49396047943559024,-1.1062267198589828,0.12556184254795485,-0.8186419176939761,0.8093620706764842,1.0260252538515853,0.3470078003497847,-1.7000398961921468,1.0980530219397253,0.2247368696250754,-0.13662344101021553,-0.793392333298203,1.1490311692027781
"Alamús, els",1.0230748886873655,-0.39498573374829926,-0.939100049051749,-2.0407342098749264,1.0325885600196785,-0.9456483755245824,-0.3427155628284807,0.478755361975901,-1.160227318652178,0.3329062813328909,0.9944293224204989,1.6201329296188918,0.38050247625162154,-0.10381782334823626,-0.10146705373401665,-1.3985458081499094,0.6353632321323328,-0.1238311357959168,-1.598536671431254,0.5755919608836781,-0.06229674105592027,-0.6078004380370946,1.4487085740921075,0.45523663156374033,-0.8671167596682671
Alàs i Cerc,5.355406713177213,-2.9515738655944714,0.5939454292751414,1.1102658701836399,-3.9161031838982754,2.405513887858514,-4.110496258775563,2.491482551456866,1.7300112073641931,3.979859763035905,1.5970103928052835,-3.387959579689845,0.0051700927671649195,-2.381045511744735,-0.45445063692011983,0.42451467669157283,-0.6470131993135331,-2.308787462753655,1.9970785266715672,-3.0188058608524067,-1.717638216022095,-0.1591400952787674,2.2314715913936247,0.9294167271278917,0.5003930356374898
"Albagés, l'",9.142537203970788,-4.399875206558258,-4.135090525979425,0.4232661523565256,1.129727733439605,-0.9910084874757498,1.1684272601928973,0.6692462386354245,-3.5164448323121325,-0.7580681573287186,-0.9585866525005116,2.1068708932542957,1.7061727555018895,4.05158865106472,4.277736103153259,-2.006450751631345,-4.412200172850148,0.29673435273028903,2.4521503400861895,-0.3310805020522432,-2.58568381050702,-1.129490641619243,-3.434508269401459,1.593664869188386,-1.1176161161567706
Albatàrrec,-6.460746306626865,-1.7593831902532224,2.211943196748362,-2.4975811689919483,3.4464729851136275,-1.9789838450996302,-0.43704227737400997,1.0600069571315305,-1.5877639024987984,-0.243927324241391,0.018695034496153687,1.1254776222189615,-0.8200818402380089,-0.8728254615207743,-0.057511509352876654,-0.20989930519878058,0.17973792157471954,-0.4757583634388404,0.05703573316902546,0.19705960258466104,1.6808911866580658,-0.1597564955297499,0.9774582431193142,1.3899023492956475,0.43837178808217914
Albesa,1.4887995038698958,-3.4481970853112345,0.5563462795535372,-3.0072308174089017,2.144749838626946,-1.7990101263821883,-0.5585651543986981,0.11197824503627546,-2.228809211296581,-0.42452363988264935,0.7449660921618922,-0.25211965316476237,0.15998765530041156,0.34471427660150533,-0.5332727518021922,-1.2720174397893416,-1.7858398936172424,0.8988161526272633,-0.3393396229502961,-0.1747975733229676,-0.35474223307944774,-0.17974911715071798,-0.7659750453714936,0.23100675963484987,-0.6601045866330566
"Albi, l'",4.924812713495868,-3.5659590104709906,-4.2752866068324415,0.1442934669466005,0.030592945157560805,-0.42223434125511605,-0.747091197572249,-0.8806891212368121,0.3333968514878622,0.22718390992396378,-1.4903506504643556,-1.033053872562563,0.5050917180476225,-1.2637225904204765,-1.1698811017283637,0.24558122303753824,-0.015544678969693936,0.16422970506597342,-0.8731834573973158,-0.24662389206148844,0.14620180166519461,0.7876998748554712,0.040896153285012074,-0.32332534170591626,-0.4531642325830269
Albinyana,-3.649109307953491,-2.381058345275596,-1.6190437259123298,5.418717585640578,1.5635192395557738,-0.42349259806620376,0.6654796916090442,-0.4738022545247483,0.2949125896120047,-0.8907184182970622,-1.4652940446668345,-0.47653320343438194,-0.5214214921722342,0.5183850376187427,-0.8291640002878381,-0.7980521460040759,0.6005087061207199,0.14754760802064862,-0.07627596899423325,-0.3298901779370648,-0.02422196187498268,0.16078821176290556,-0.24596868338331346,0.11912513008004902,-0.20008015393159043
"Albiol, l'",-5.124778207722398,4.384692868205523,0.12831308322821214,1.775439336390349,4.424805475105913,-2.8239414425777176,-1.537563167198119,-1.591433671259507,-0.5247542226463079,2.0286752412835236,-1.621694893172474,-1.840083373374271,0.899210343423379,-1.7703790640147765,0.30648496183054963,-0.8565221528565179,0.8684647430191749,2.31718291462359,0.4682491024340398,0.5058473340536268,0.6050624025839147,-0.7774637414578089,0.0991589365199288,-0.1493610160047795,0.694328490471994
Albons,-2.3645764793407134,0.9605251315412358,1.3455291876977087,-1.2302665200681997,-0.2964472792160004,0.018298742032720673,-2.4127443359873824,-1.7056038811987235,0.7612714298533255,-0.19448040151272353,-0.4982718196726027,-1.0493299194930297,-1.2660181052248938,1.5104944905682862,-0.802461752342928,-1.1039777171924197,0.45779513120082826,0.02809815917910477,0.04650987469250209,1.2920630189268656,-0.22247522375927142,0.002748952460749826,-0.33899729417795665,-0.8047316687165909,-0.4307054686426109
Alcanar,-3.254227499655691,-5.720088706171376,1.4402083092392015,0.14920115511010343,1.2894127584947812,-0.5819198267318765,-0.16320160818216697,-1.3295663432682001,-0.2841798139173812,1.0379628406163872,-1.6797535819663976,1.5355004531363774,0.8256635239833252,-1.5245159958553598,0.07206021765510642,-0.5093775599745011,-0.15260275471289025,1.1387221616210124,-0.4674743777667707,-0.028738344691874886,0.9602071554889822,0.4460258736237893,-0.14330277350225973,0.3065542962267682,0.43420508876953573
Alcanó,6.7295612499134805,-0.0892378662689219,-4.435110311841298,-0.07331942988327043,2.7800650509534193,-1.9651673449952527,-0.3755663212002261,1.7143962318722359,0.5359254003468285,-0.33079984723015043,-1.5138391579316381,1.8361124836616136,-0.5609521513542505,-0.2569191600372562,0.09896280892651249,0.5373661901585366,0.5251721345252679,-0.3894121529722255,-0.5603338183493826,-0.0715654040245133,-0.37488008928272193,-1.701809094998471,0.037394544458066004,0.7918105291259651,1.1014254771262408
Alcarràs,-8.338706395473732,-4.220933092652062,4.304173439525023,-3.631997717627258,3.935029446564153,-1.8264247896845192,1.4126672844597539,1.976805464753119,-0.8515996047111686,-2.2902251449643547,-0.872457830487078,1.62465848069252,-1.5358358543121435,-1.1781500927986797,1.3955962224965297,-0.9405437897394299,0.27371133582566487,0.542629001762444,-0.6523111656900459,0.039703887900143287,0.9749305799118527,-0.5174424730010526,0.637191639372371,0.3265981287284568,-0.011752926193475035
Alcoletge,-6.068889285933081,-0.1957527638151467,0.8190700605698688,-0.36433678135792097,3.157375623368624,-1.714929754670626,1.2687010764550344,1.3345464755457381,-1.8535192734091541,-0.523442484424034,-1.3657959846372298,-0.2808538692634533,-0.7717408725579982,-0.8239946224807007,0.09624282579789625,0.24125709308307378,0.38610226194395075,-0.037325896932981356,-0.6928412801334879,-0.3198744729162908,0.9494191093869992,-0.7638416232155344,0.903231569877448,1.0333430902191116,-0.02607083067688932
Alcover,-4.452727313712352,-1.651520760439486,-1.8050601556179084,1.1318918868817192,0.9413116921341512,-0.41536394512893726,0.5593194492251602,1.0823635067812813,-0.03518450307548509,-0.0057665509230892375,-0.8888628874073461,0.34376059631605793,0.16379787056035494,-0.8029270101208245,0.2522277228466167,-0.2915833833615068,-0.4485419115594224,-0.19886704360428706,-0.23912861605592117,0.046829132028158804,-0.19818978559359585,-0.536729001394318,0.5841276236802687,0.4800933751436866,-0.727309870797208
"Aldea, l'",-2.6133028716228424,-5.237198800583788,0.5604308954245076,-1.2445148542058748,2.0358408207825613,-0.9997317085883132,1.6577825236602985,0.7597664125763837,-1.4746132657023214,-0.8791503175590224,-0.7502148241753053,0.38506207332417575,-0.20304208106110186,-0.9384007768460221,-1.4827330596376975,-0.6779546845877862,-0.5224070263253827,0.37428889627204964,-0.44218110000266253,0.039814703821250665,0.4592084258188693,-0.33687928116928034,-0.34723766980313603,0.8431132277618272,0.07973550424773919
Aldover,1.8768668529504215,-6.628955378619091,-1.5382125971726355,1.0419723131212129,1.4732897622346104,-0.8011981397990273,-0.017574644913000557,-0.20226759688510013,0.4250649747713703,1.8154181361007444,-0.8552347493310016,0.7749620131519361,0.4519654614765107,-1.1829938200127565,-1.752663840240226,-1.8310319789528389,-0.27906723052379573,0.2927014604989306,-0.38759164349894976,-0.09601434458504886,1.4167923689280593,0.18729827020321482,-0.8204207854609723,0.23481492930367148,-0.29779308135724947
"Aleixar, l'",-1.87823273707903,-0.4776236682364822,-0.9083451778047238,1.3896685208850479,3.3958806348523805,-1.678950871870946,-0.12755621278529122,-1.2147270411156257,-0.3999695096954621,0.5477046451590166,0.4734740259355032,1.2390179453474455,0.22829859346061335,-1.2260730691941562,-0.5967721274655726,-1.2538410050553797,-0.46349816288816015,0.1798075113029485,-0.5962957243245766,-0.00613970495563497,-0.20479237085490948,0.5703058601344546,-0.2358259859725683,-0.23622905101558472,0.471500438979185
Alella,-2.4090268486877475,1.4089634229578392,-1.3552760054591992,-1.6042772062443513,-1.6595165088823882,0.42948810549515354,-3.398950251389686,-1.034593483318917,0.2754036075535334,2.267020990251656,0.2782421156617937,0.9635873922815069,0.7413592468517454,0.3688833421124838,0.21219551002569795,0.19773487629942443,0.3023755778834179,0.7892352209499354,0.2694551884145786,-0.6363841032190661,-0.0981452520913897,-0.5531134105551457,-0.6765602730679099,-0.21317081748651598,0.618749142916002
Alfara de Carles,3.9525549525613863,-5.228703295153915,-0.5359473327965817,3.07618348026129,2.031625905288877,-0.7960725876758363,1.3779435629191026,1.194534941041823,-1.2390211189397191,-1.4713158209474422,-2.017314595747875,-0.7804883445281864,-0.6097724176964968,-0.47742289135134525,-1.773048837126729,0.03278653050182232,-0.12986173494780892,-0.5283022833564329,-1.5142231453033255,-0.631533287837392,1.1558117078346117,0.8578453559154865,-0.9586292122485065,1.4205936391351606,0.9605806938356254
Alfarràs,-1.421212152827307,-8.714552157037906,-1.0381825730524983,2.585785354860026,0.6437180713984,0.36210750552981835,1.7047366148078889,1.2149585058215626,0.7105154230540299,-3.5681292005378027,0.8333552509361299,-0.8302445333054979,-0.14186411286712522,-0.7311652206854533,-0.1324964083303767,-0.8279835404405947,-1.6355575809955605,0.28990132151326764,-1.0801371625381784,-4.130013453381764,1.2629209828007688,0.7941450386351854,0.19732937131587458,0.8662579088615685,1.3059364829935467
Alfés,7.183773708818254,-0.677815491169581,-0.7143046063506425,-1.6372809054496624,2.78090253431015,-2.0844841857940453,1.478865658024136,1.1407589649208434,-0.6339223317451914,1.7795206477115855,-1.075501072858467,0.7488926047630095,0.35428656816372844,0.7099882183467071,-2.012585766629477,-0.03092581649219556,-0.2759571283511697,-1.5447655563062397,-1.5175026921569879,-0.5147579694551507,-0.5008493663607075,-0.17967096547559908,-1.468810230598169,0.6375804398499103,1.6988279266209705
