,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
903,Viladrau,Municipality,Girona,757,883,863,1071,1102,→
904,Vilafant (Vilafan),Municipality,Girona,1506,2914,4303,5518,5480,→
905,Vilafranca del Penedès (Villafranca del Panadés),Municipality,Barcelona,25025,27818,31248,38839,39969,→
906,Vilagrassa (Vilagrasa),Municipality,Lleida,460,429,402,490,587,→
907,Vilajuïga,Municipality,Girona,730,598,982,1150,1124,→
908,Vilalba dels Arcs (Villalba de los Arcos),Municipality,Tarragona,788,793,752,708,630,→
909,Vilalba Sasserra (Villalba Saserra),Municipality,Barcelona,211,297,491,701,758,→
910,Vilaller,Municipality,Lleida,1005,592,560,641,554,→
911,Vilallonga del Camp (Vilallonga del Campo),Municipality,Tarragona,1223,1191,1245,2208,2385,→
912,Vilallonga de Ter,Municipality,Girona,452,429,420,454,386,→
913,Vilamacolum,Municipality,Girona,289,215,263,286,371,→
914,Vilamalla,Municipality,Girona,369,622,880,1094,1154,→
915,Vilamaniscle,Municipality,Girona,114,126,142,166,205,→
916,Vilamòs (Vilamós),Municipality,Lleida,83,110,139,185,164,→
917,Vilanant,Municipality,Girona,278,251,317,377,399,→
918,Vilanova de Bellpuig,Municipality,Lleida,1273,1197,1090,1190,1178,→
919,Vilanova de la Barca (Villanueva de la Barca),Municipality,Lleida,896,870,966,1151,1127,→
920,Vilanova de l'Aguda (Vilanova de la Aguda),Municipality,Lleida,324,279,267,242,194,→
921,Vilanova del Camí,Municipality,Barcelona,8368,9317,10194,12582,12736,→
922,Vilanova del Vallès (Vilanova del Vallés),Municipality,Barcelona,1164,1468,2540,5063,5535,→
923,Vilanova de Meià (Vilanova de Meyá),Municipality,Lleida,531,499,424,421,427,→
924,Vilanova de Prades,Municipality,Tarragona,165,162,143,126,108,→
925,Vilanova de Sau,Municipality,Barcelona,341,305,332,323,314,→
926,Vilanova d'Escornalbou,Municipality,Tarragona,461,445,442,560,582,→
927,Vilanova de Segrià (Vilanova de Segriá),Municipality,Lleida,705,672,759,890,1000,→
928,Vilanova i la Geltrú (Villanueva y Geltrú),Municipality,Barcelona,43833,45864,54230,66074,67458,→
929,Vilaplana,Municipality,Tarragona,511,510,559,620,536,→
930,Vila-rodona (Vilarrodona),Municipality,Tarragona,1054,1017,1001,1274,1299,→
931,Vila-sacra (Vilasacra),Municipality,Girona,385,414,405,672,761,→
932,Vila-sana (Vilasana),Municipality,Lleida,556,525,540,701,761,→
933,Vila-seca (Vilaseca),Municipality,Tarragona,10957,11528,13353,21783,22522,→
934,Vilassar de Dalt (Vilasar de Dalt),Municipality,Barcelona,5527,6791,7904,8863,9074,→
935,Vilassar de Mar (Vilasar de Mar),Municipality,Barcelona,9519,12117,17369,19881,20936,→
936,Vilaür (Vilahur),Municipality,Girona,123,104,115,140,162,→
937,Vilaverd (Vilavert),Municipality,Tarragona,413,366,378,494,445,→
938,Vilobí del Penedès (Viloví),Municipality,Barcelona,772,815,917,1109,1128,→
939,Vilobí d'Onyar (Viloví de Oñar),Municipality,Girona,1810,2083,2250,3024,3310,→
940,Vilopriu,Municipality,Girona,196,176,152,211,230,→
941,Vimbodí i Poblet,Municipality,Tarragona,1204,1095,1026,1007,880,→
942,Vinaixa,Municipality,Lleida,759,727,614,562,464,→
943,Vinebre,Municipality,Tarragona,565,451,450,478,427,→
944,Vinyols i els Arcs (Viñols y Archs),Municipality,Tarragona,807,831,1264,1927,2193,→
945,Viver i Serrateix (Viver y Serrateix),Municipality,Barcelona,235,209,189,177,175,→
946,Xerta (Cherta),Municipality,Tarragona,1318,1248,1210,1271,1159,→
