,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
682,Santa Cristina d'Aro (Santa Cristina de Aro),Municipality,Girona,1281,1859,2873,5027,5408,→
683,Sant Adrià de Besòs (San Adrián de Besós),Municipality,Barcelona,36397,34154,31939,34369,37283,→
684,Santa Eugènia de Berga (Santa Eugenia de Berga),Municipality,Barcelona,1129,1590,1973,2262,2259,→
685,Santa Eulàlia de Riuprimer (Santa Eulalia de Riuprimer),Municipality,Barcelona,783,844,863,1193,1409,→
686,Santa Eulàlia de Ronçana (Santa Eulalia de Ronsana),Municipality,Barcelona,2346,3029,4950,7010,7538,→
687,Santa Fe del Penedès (Santa Fe del Panadés),Municipality,Barcelona,194,200,317,381,378,→
688,Sant Agustí de Lluçanès (San Agustín de Llusanés),Municipality,Barcelona,132,123,105,96,92,→
689,Santa Llogaia d'Àlguema (Santa Leocadia de Algama),Municipality,Girona,303,316,311,348,378,→
690,Santa Margarida de Montbui (Santa Margarita de Montbuy),Municipality,Barcelona,8178,9308,9064,9713,10192,→
691,Santa Margarida i els Monjos (Santa Margarita y Monjós),Municipality,Barcelona,3327,3917,5042,7091,7664,→
692,Santa Maria de Besora (Santa María de Besora),Municipality,Barcelona,209,201,178,157,161,→
693,Santa Maria de Martorelles (Santa María de Martorellas de Arriba),Municipality,Barcelona,398,483,690,870,882,→
694,Santa Maria de Merlès (Santa María de Marlés),Municipality,Barcelona,305,200,156,172,180,→
695,Santa Maria de Miralles (Santa María de Miralles),Municipality,Barcelona,98,108,98,132,129,→
696,Santa Maria de Palautordera (Santa María de Palautordera),Municipality,Barcelona,4159,4979,6442,9109,9666,→
697,Santa Maria d'Oló (Santa María de Oló),Municipality,Barcelona,1089,1015,990,1045,1065,→
698,Sant Andreu de la Barca (San Andrés de la Barca),Municipality,Barcelona,13196,14475,21933,27246,27175,→
699,Sant Andreu de Llavaneres (San Andrés de Llavaneras),Municipality,Barcelona,2949,4183,7833,10472,11150,→
700,Sant Andreu Salou (San Andrés Salou),Municipality,Girona,166,137,137,158,156,→
701,Sant Aniol de Finestres (Sant Aniol de Finestrás),Municipality,Girona,275,237,290,346,353,→
702,Sant Antoni de Vilamajor (San Antonio Vilamajor),Municipality,Barcelona,1654,2216,3829,5660,6383,→
703,Santa Oliva,Municipality,Tarragona,1137,1485,2261,3325,3450,→
704,Santa Pau,Municipality,Girona,1274,1391,1496,1593,1585,→
705,Santa Perpètua de Mogoda (Santa Perpetua de Moguda),Municipality,Barcelona,13549,16792,20479,25521,26033,→
706,Santa Susanna (Santa Susana),Municipality,Barcelona,509,982,2090,3326,3650,→
707,Sant Bartomeu del Grau (San Bartolomé del Grau),Municipality,Barcelona,1034,1121,1106,909,913,→
708,Sant Boi de Llobregat (San Baudilio de Llobregat),Municipality,Barcelona,72926,77932,78738,82666,83755,→
709,Sant Boi de Lluçanès (San Baudilio de Llusanés),Municipality,Barcelona,520,530,566,544,573,→
710,Sant Carles de la Ràpita (San Carlos de la Rápita),Municipality,Tarragona,10051,10752,11572,15143,14931,→
711,Sant Cebrià de Vallalta (San Cipriano de Vallalta),Municipality,Barcelona,614,876,1951,3332,3570,→
712,Sant Celoni (San Celoni),Municipality,Barcelona,11946,11957,12700,16973,18176,→
713,Sant Climent de Llobregat (San Clemente de Llobregat),Municipality,Barcelona,2083,2289,3140,3903,4193,→
714,Sant Climent Sescebes (San Clemente Sasebas),Municipality,Girona,490,440,408,564,712,→
715,Sant Cugat del Vallès (San Cugat del Vallés),Municipality,Barcelona,30633,38937,60265,84934,94012,→
716,Sant Cugat Sesgarrigues (San Cugat Sasgarrigas),Municipality,Barcelona,697,716,755,994,1004,→
717,Sant Esteve de la Sarga (San Esteban de la Sarga),Municipality,Lleida,230,87,108,139,122,→
718,Sant Esteve de Palautordera (San Esteban de Palautordera),Municipality,Barcelona,968,1179,1484,2540,2997,→
719,Sant Esteve Sesrovires (San Esteban de Sasroviras),Municipality,Barcelona,1456,2642,5410,7457,7771,→
720,Sant Feliu de Buixalleu (San Felíu de Buxalleu),Municipality,Girona,615,592,702,790,808,→
721,Sant Feliu de Codines (San Felíu de Codinas),Municipality,Barcelona,3316,3698,4530,6008,6406,→
722,Sant Feliu de Guíxols,Municipality,Girona,15500,16051,17994,21752,22210,→
723,Sant Feliu de Llobregat (San Feliú de Llobregat),Municipality,Barcelona,38004,36608,40042,43333,45463,→
724,Sant Feliu de Pallerols (San Feliu de Pallarols),Municipality,Girona,1139,1087,1152,1347,1456,→
725,Sant Feliu Sasserra (San Felíu Saserra),Municipality,Barcelona,674,654,654,663,617,→
726,Sant Ferriol (San Ferreol),Municipality,Girona,221,201,199,224,247,→
727,Sant Fost de Campsentelles (San Fausto de Campcentellas),Municipality,Barcelona,2969,4938,6718,8464,8997,→
728,Sant Fruitós de Bages (San Fructuoso de Bages),Municipality,Barcelona,3761,4778,5936,8216,8936,→
729,Sant Gregori (San Gregorio),Municipality,Girona,1634,1867,2487,3327,4012,→
730,Sant Guim de Freixenet,Municipality,Lleida,1077,1051,1009,1095,1059,→
731,Sant Guim de la Plana,Municipality,Lleida,209,206,179,198,184,→
732,Sant Hilari Sacalm (San Hilario Sacalm),Municipality,Girona,4375,4704,5036,5718,5758,→
733,Sant Hipòlit de Voltregà (San Hipólito de Voltregá),Municipality,Barcelona,3160,2981,3047,3606,3547,→
734,Sant Iscle de Vallalta (San Acisclo de Vallalta),Municipality,Barcelona,490,513,944,1304,1438,→
735,Sant Jaume de Frontanyà (San Jaime de Frontanya),Municipality,Barcelona,20,28,26,28,28,→
736,Sant Jaume de Llierca (San Jaime de Llierca),Municipality,Girona,791,757,746,756,852,→
737,Sant Jaume dels Domenys (San Jaime dels Domenys),Municipality,Tarragona,1050,1187,1500,2508,2666,→
738,Sant Jaume d'Enveja (San Jaime de Enveija),Municipality,Tarragona,3407,3429,3309,3541,3552,→
739,Sant Joan de les Abadesses (San Juan de las Abadesas),Municipality,Girona,4247,3896,3566,3461,3250,→
740,Sant Joan de Mollet (San Juan de Mollet),Municipality,Girona,315,312,406,522,501,→
741,Sant Joan Despí (San Juan Despí),Municipality,Barcelona,25309,24977,28772,32767,34130,→
742,Sant Joan de Vilatorrada (San Juan de Torruella),Municipality,Barcelona,7402,7974,9336,10769,10871,→
743,Sant Joan les Fonts (San Juan les Fonts),Municipality,Girona,2924,2821,2719,2852,3050,→
744,Sant Jordi Desvalls (San Jordi Desvalls),Municipality,Girona,626,602,634,699,796,→
745,Sant Julià de Cerdanyola (San Julián de Cerdañola),Municipality,Barcelona,229,226,236,258,235,→
746,Sant Julià del Llor i Bonmatí,Municipality,Girona,830,887,989,1252,1314,→
747,Sant Julià de Ramis (San Julián de Ramis),Municipality,Girona,1346,1731,2098,3440,3612,→
748,Sant Julià de Vilatorta (San Julián de Vilatorta),Municipality,Barcelona,1518,1934,2414,3025,3152,→
749,Sant Just Desvern (San Justo Desvern),Municipality,Barcelona,11022,12471,13870,15572,19379,→
750,Sant Llorenç de la Muga (San Lorenzo de la Muga),Municipality,Girona,188,156,185,240,267,→
751,Sant Llorenç de Morunys (San Lorenzo de Morunys),Municipality,Lleida,889,861,921,1034,985,→
752,Sant Llorenç d'Hortons (San Lorenzo de Hortóns),Municipality,Barcelona,953,1085,1758,2525,2459,→
753,Sant Llorenç Savall (San Lorenzo Savall),Municipality,Barcelona,1984,1956,2061,2417,2514,→
754,Sant Martí d'Albars (San Martín del Bas),Municipality,Barcelona,162,125,134,108,107,→
755,Sant Martí de Centelles (San Martín de Centellas),Municipality,Barcelona,738,642,772,1097,1186,→
756,Sant Martí de Llémena (San Martín de Liémana),Municipality,Girona,319,313,459,598,663,→
757,Sant Martí de Riucorb (Sant Martí de Río Corb),Municipality,Lleida,854,781,699,692,649,→
